Symptom_1,Symptom_2,Weight
nausea,vomiting,9
fatigue,high fever,9
abdominal pain,vomiting,8
loss of appetite,yellowing of eyes,7
loss of appetite,vomiting,7
fatigue,vomiting,7
yellowish skin,abdominal pain,7
loss of appetite,fatigue,7
high fever,vomiting,6
loss of appetite,nausea,6
loss of appetite,abdominal pain,6
fatigue,nausea,6
loss of appetite,yellowish skin,6
headache,vomiting,6
yellowish skin,vomiting,6
yellowish skin,yellowing of eyes,6
chills,high fever,6
malaise,fatigue,6
fatigue,headache,5
nausea,headache,5
headache,high fever,5
fatigue,abdominal pain,5
yellowing of eyes,nausea,5
yellowing of eyes,fatigue,5
yellowing of eyes,vomiting,5
yellowing of eyes,abdominal pain,5
yellowish skin,fatigue,5
yellowish skin,dark urine,5
yellowish skin,nausea,5
malaise,high fever,5
dark urine,abdominal pain,5
fatigue,chills,5
nausea,abdominal pain,5
cough,high fever,4
malaise,chills,4
cough,chest pain,4
loss of appetite,malaise,4
chills,headache,4
fatigue,cough,4
loss of appetite,dark urine,4
fatigue,lethargy,4
loss of appetite,joint pain,4
chills,vomiting,4
loss of appetite,high fever,4
sweating,vomiting,4
fatigue,sweating,4
dark urine,fatigue,4
fatigue,weight loss,4
vomiting,diarrhoea,4
nausea,high fever,4
nausea,joint pain,4
dark urine,vomiting,4
dark urine,yellowing of eyes,4
vomiting,joint pain,4
chest pain,phlegm,3
chills,muscle pain,3
chills,sweating,3
breathlessness,high fever,3
phlegm,high fever,3
chest pain,sweating,3
vomiting,muscle pain,3
swelled lymph nodes,high fever,3
malaise,swelled lymph nodes,3
high fever,muscle pain,3
high fever,sweating,3
breathlessness,chest pain,3
loss of appetite,itching,3
fatigue,excessive hunger,3
breathlessness,sweating,3
chest pain,high fever,3
chest pain,chills,3
dark urine,joint pain,3
cough,chills,3
cough,phlegm,3
headache,muscle pain,3
nausea,muscle pain,3
abdominal pain,high fever,3
fatigue,itching,3
itching,skin rash,3
chest pain,vomiting,3
nausea,diarrhoea,3
fatigue,joint pain,3
high fever,skin rash,3
abdominal pain,joint pain,3
fatigue,chest pain,3
excessive hunger,irritability,3
fatigue,phlegm,3
excessive hunger,blurred and distorted vision,3
malaise,cough,3
abdominal pain,itching,3
malaise,chest pain,3
yellowish skin,joint pain,3
fatigue,swelled lymph nodes,3
loss of appetite,mild fever,3
malaise,headache,3
yellowing of eyes,joint pain,3
dark urine,nausea,3
malaise,phlegm,3
breathlessness,fatigue,3
nausea,chills,3
breathlessness,cough,3
fatigue,irritability,3
yellowish skin,itching,3
chills,phlegm,3
fatigue,red spots over body,2
restlessness,weight loss,2
malaise,yellowing of eyes,2
swelled lymph nodes,mild fever,2
swelled lymph nodes,chest pain,2
swelled lymph nodes,headache,2
swelled lymph nodes,chills,2
malaise,vomiting,2
fatigue,skin rash,2
excessive hunger,headache,2
muscle pain,joint pain,2
chest pain,headache,2
loss of balance,dizziness,2
itching,high fever,2
yellowing of eyes,itching,2
fatigue,fast heart rate,2
fatigue,diarrhoea,2
fatigue,abnormal menstruation,2
abdominal pain,diarrhoea,2
yellowish skin,high fever,2
skin rash,joint pain,2
yellowing of eyes,mild fever,2
fatigue,mood swings,2
malaise,itching,2
loss of balance,headache,2
malaise,lethargy,2
fatigue,muscle pain,2
malaise,mild fever,2
malaise,red spots over body,2
malaise,skin rash,2
chills,diarrhoea,2
continuous sneezing,chills,2
swelled lymph nodes,phlegm,2
phlegm,sweating,2
cough,vomiting,2
muscle pain,diarrhoea,2
malaise,muscle pain,2
cough,sweating,2
cough,swelled lymph nodes,2
red spots over body,skin rash,2
loss of appetite,lethargy,2
loss of appetite,muscle pain,2
headache,skin rash,2
fatigue,restlessness,2
fatigue,obesity,2
irritability,headache,2
nausea,sweating,2
dark urine,high fever,2
blurred and distorted vision,irritability,2
fatigue,blurred and distorted vision,2
blurred and distorted vision,headache,2
high fever,weight loss,2
dark urine,itching,2
high fever,mild fever,2
high fever,red spots over body,2
high fever,joint pain,2
swelling joints,painful walking,2
sweating,diarrhoea,2
vomiting,weight loss,2
sweating,weight loss,2
sweating,fast heart rate,2
yellowing of eyes,high fever,2
excessive hunger,restlessness,2
excessive hunger,weight loss,2
depression,irritability,2
high fever,diarrhoea,2
headache,red spots over body,2
breathlessness,malaise,2
loss of appetite,chills,2
loss of appetite,swelled lymph nodes,2
loss of appetite,skin rash,2
loss of appetite,red spots over body,2
loss of appetite,headache,2
