Symptom,Degree,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
fatigue,77,0.5923076923076923,0.22786506203634602,0.2764711250020802
vomiting,58,0.4461538461538462,0.12859672374995443,0.21834075032695266
headache,52,0.4,0.08844152071089893,0.209206815398851
high fever,52,0.4,0.10121439033080136,0.22450808247741025
malaise,40,0.3076923076923077,0.01605351899489163,0.2050641701140093
loss of appetite,39,0.30000000000000004,0.0202593048507979,0.1936852490847886
chills,39,0.30000000000000004,0.03884877115525718,0.19259889128877283
nausea,38,0.2923076923076923,0.027638518351040833,0.17091207816601792
lethargy,36,0.27692307692307694,0.036293402435271856,0.13938615231545032
abdominal pain,34,0.26153846153846155,0.029090510411404532,0.1502854416890086
weight loss,33,0.25384615384615383,0.015328520855308754,0.16064040341827993
sweating,32,0.24615384615384617,0.009104291545756853,0.16228318669419176
chest pain,32,0.24615384615384617,0.015138884094936886,0.15554041838679372
skin rash,32,0.24615384615384617,0.13406544247953237,0.11672202208042667
yellowing of eyes,31,0.23846153846153847,0.00569150109982858,0.167333921811427
irritability,31,0.23846153846153847,0.014634990865938266,0.10306187233094882
joint pain,31,0.23846153846153847,0.0809842896885878,0.13220814965276256
cough,31,0.23846153846153847,0.009822112427439444,0.1546637074272617
muscle pain,31,0.23846153846153847,0.006636550889420257,0.1739043484925022
diarrhoea,28,0.2153846153846154,0.0194951262988527,0.137942233569955
swelled lymph nodes,28,0.2153846153846154,0.004552657396175407,0.15975109560949052
excessive hunger,28,0.2153846153846154,0.010459274619959848,0.09840493424243942
yellowish skin,27,0.2076923076923077,0.013511761679841432,0.12669482170902793
mild fever,27,0.2076923076923077,0.0028045864780599254,0.16630464405285444
phlegm,26,0.2,0.0018752031404230343,0.14762633174296597
itching,25,0.19230769230769232,0.0459915221801007,0.12162138830101167
blurred and distorted vision,23,0.17692307692307693,0.007013043804855812,0.08337380491455253
dark urine,22,0.16923076923076924,0.002056209678672258,0.1214787024249794
abnormal menstruation,19,0.14615384615384616,0.0021917680440990315,0.06396794090887785
dizziness,19,0.14615384615384616,0.013151494068649877,0.055604310572733795
breathlessness,19,0.14615384615384616,0.0012861776825750018,0.11232637064973985
depression,19,0.14615384615384616,0.004397620082304551,0.0558375219582727
mood swings,19,0.14615384615384616,0.0021917680440990315,0.06396794090887785
fast heart rate,18,0.13846153846153847,0.002656147293328987,0.09316927971332695
continuous sneezing,18,0.13846153846153847,0.006666497876808193,0.09526158999637128
back pain,17,0.13076923076923078,0.013366442764828772,0.09292144842057602
red spots over body,17,0.13076923076923078,0.0003561094687659362,0.1103255540160888
runny nose,16,0.12307692307692308,0.0,0.09441686454646134
loss of smell,16,0.12307692307692308,0.0,0.09441686454646134
redness of eyes,16,0.12307692307692308,0.0,0.09441686454646134
congestion,16,0.12307692307692308,0.0,0.09441686454646134
throat irritation,16,0.12307692307692308,0.0,0.09441686454646134
sinus pressure,16,0.12307692307692308,0.0,0.09441686454646134
restlessness,16,0.12307692307692308,0.001211456932387165,0.060326141090402546
blood in sputum,15,0.11538461538461539,0.0,0.103238413618564
obesity,14,0.1076923076923077,0.002943180850157594,0.03813377421740747
constipation,14,0.1076923076923077,0.06010733452593918,0.06594044984240609
muscle weakness,14,0.1076923076923077,0.014195261991897815,0.048667984736040594
pain behind the eyes,13,0.1,0.0,0.08868286618644562
